番号,2
名前,依莲尼亚 ·贝罗·利亚顿,
呼び名,塞琳,

BASE,体力,180000
BASE,ＳＰ,200000
BASE,理智,18000
BASE,精力,6000
BASE,性欲,6000
BASE,尿意,10000
BASE,便意,10000
BASE,呕吐感,10000

BASE,年龄,297
BASE,外表年龄,24
BASE,出生月,9
BASE,出生日,15
BASE,好感度,0
BASE,服从度,0

TALENT,性别,0
TALENT,精灵,6
TALENT,职业,2
TALENT,学派,1
TALENT,私密工作,1
TALENT,具现术,1
TALENT,触手操纵术,1
TALENT,读心术
TALENT,禁忌知识
TALENT,瞳孔,0
TALENT,瞳色,10
TALENT,发型,12
TALENT,发色,10
TALENT,有魅力,1
TALENT,快速回复,2
TALENT,处女,1
TALENT,Ｖ性感,2
TALENT,子宫性感,2
TALENT,难以怀孕,1
TALENT,舌头灵活,1
TALENT,潮吹体质,1
TALENT,肛门处女,1
TALENT,Ａ性感,2
TALENT,结肠性感,2
TALENT,恢复快,1
TALENT,容易湿,1
TALENT,正太控,1
TALENT,自尊高,1
TALENT,感情淡漠,1
TALENT,和気,1
TALENT,高傲,1
TALENT,冷静,1
TALENT,慈爱,1
TALENT,高贵,1
TALENT,知慧,1
TALENT,聪慧,1
TALENT,魅惑,1
TALENT,自大,1
TALENT,温柔,1
TALENT,孤高,1
TALENT,保守的,1
TALENT,重视贞操,1
TALENT,难以逾越的底线,1
TALENT,压抑,1
TALENT,贪色,1
TALENT,Ａ性向,1

CSTR,自称,我
CSTR,外语名,Syllin

CFLAG,外套,11
CFLAG,外衣,20
CFLAG,内衣,9
CFLAG,手套,5
CFLAG,内裤,5
CFLAG,裙裤,13
CFLAG,袜子,1
CFLAG,鞋子,5

CFLAG,实验室外套,1
CFLAG,毛衣,1
CFLAG,蕾丝胖次,1
CFLAG,蕾丝胸罩,1
CFLAG,实验手套,1
CFLAG,OL裙,1
CFLAG,连裤袜,1
CFLAG,高跟鞋,1

CFLAG,调教中,1
CFLAG,眼镜,1
CFLAG,耳饰,1
CFLAG,戒指,1
CFLAG,发饰,1
CFLAG,手环,1

EXP,接吻经验,19
EXP,Ｂ自慰经验,153
EXP,Ｖ自慰经验,92
EXP,Ａ自慰经验,122
EXP,Ｂ绝顶经验,93
EXP,Ｖ绝顶经验,56
EXP,Ａ绝顶经验,100
EXP,穿孔经验,2
