;口
1,Ｍ经验
2,口交经验
3,接吻经验
4,饮精经验
5,清洁口交经验
6,清洁舔阴经验
7,饮尿经验
8,饮乳经验
9,呕吐经验
10,强制呕吐经验

;喉
101,喉经验
102,喉口交经验
103,喉扩张经验
104,喉损伤经验

;胃
201,胃经验
202,喉扩张经验
203,胃精液经验

;胸
301,Ｂ经验
302,乳交经验
303,乳内精液经验
304,喷乳经验

;乳孔
401,Ｎ经验
402,乳孔扩张经验
403,乳头奸经验
404,乳孔精液经验
405,乳孔浴尿经验

;手
501,Ｈ经验
502,手交经验

;阴蒂
601,Ｃ经验

;尿道
701,Ｕ经验
702,Ｕ扩张经验
703,Ｕ损伤经验
704,Ｕ性交经验
705,放尿经验
706,漏尿经验

;膀胱
801,膀胱经验
802,膀胱精液经验
803,膀胱输尿经验

;P
901,Ｐ经验

;阴道
1001,Ｖ经验
1002,Ｖ性交经验
1003,Ｖ扩张经验
1004,Ｖ损伤经验
1005,Ｖ拳交经验
1006,处女失去经验

;子宫
1101,宫口经验
1102,子宫奸经验
1103,子宫中出经验
1104,子宫浴尿经验

;肛门
1201,Ａ经验
1202,Ａ性交经验
1203,Ａ扩张经验
1204,Ａ损伤经验
1205,Ａ拳交经验
1206,排泄经验

;结肠
1301,结肠经验
1302,肠内中出经验
1303,肠内灌尿经验
1304,灌肠经验

;足
1401,Ｆ经验
1402,足交经验

;肌肤
1501,Ｓ经验
152,肌肤精液经验
1503,浴尿经验
1504,精液浴经验

;插入
1601,Ｍ插入经验
1602,喉插入经验
1603,胃插入经验
1604,Ｂ插入经验
1605,乳头插入经验
1606,Ｕ插入经验
1607,膀胱插入经验
1608,Ｖ插入经验
1609,子宫插入经验
1610,Ａ插入经验
1611,结肠插入经验

;射精
1701,射精经验

;绝顶
2001,Ｍ绝顶经验
2002,Ｂ绝顶经验
2003,Ｈ绝顶经验
2004,Ｃ绝顶经验
2005,Ｐ绝顶经验
2006,Ｕ绝顶经验
2007,Ｖ绝顶经验
2008,Ａ绝顶经验
2009,Ｆ绝顶经验
2010,Ｓ绝顶经验
2011,绝顶经验
2012,强制绝顶经验
2013,

;寸止
2101,寸止经验
2102,欲求不满经验
2103,忍耐经验

;快乐
2201,奉侍快乐经验
2202,被虐快乐经验
2203,施虐快乐经验
2204,道具调教经验
2205,羞耻快乐经验

;自慰行为
2301,Ｍ自慰经验
2302,Ｂ自慰经验
2303,Ｈ自慰经验
2304,Ｃ自慰经验
2305,Ｐ自慰经验
2306,Ｕ自慰经验
2307,Ｖ自慰经验
2308,Ａ自慰经验
2309,Ｆ自慰经验
2310,Ｓ自慰经验
2311,强制自慰经验
2312,调教自慰经验
2313,

;自慰绝顶
2401,Ｍ自慰绝顶经验
2402,Ｂ自慰绝顶经验
2403,Ｈ自慰绝顶经验
2404,Ｃ自慰绝顶经验
2405,Ｐ自慰绝顶经验
2406,Ｕ自慰绝顶经验
2407,Ｖ自慰绝顶经验
2408,Ａ自慰绝顶经验
2409,Ｆ自慰绝顶经验
2410,Ｓ自慰绝顶经验
2411,自慰绝顶经验
2412,

;处女夺取
2501,初吻夺取经验
2502,喉处女夺取经验
2503,胃处女夺取经验
2504,Ｎ处女夺取经验
2505,Ｕ处女夺取经验
2506,膀胱处女夺取经验
2507,处女夺取经验
2508,子宫处女夺取经验
2509,Ａ处女夺取经验
2510,结肠处女夺取经验

;调教行为
2601,调教经验
2602,奉侍经验
2603,精液经验
2604,道具经验

2701,舔足经验
2702,舔肛经验
2703,舔指经验

2801,露出经验

2901,剃毛经验

3001,百合经验
3002,ＳＭ经验
3003,拘束经验
3004,穿孔经验
3005,媚药经验

3151,触手经验

3201,特别经验
3202,异常经验
3203,

