;Ｍ,

1,接吻
2,舔指
3,亲吻肉棒
4,舔尿道
5,舔肛
6,舔足
7,口交
8,深喉
9,吞下精液
10,喝套内精液
11,展示口内
12,舔阴蒂
13,舔阴
14,饮尿
15,舔全身
16,

;Ｂ,
101,乳交
102,乳头交
103,乳头插入乳头
104,

;Ｈ,
201,手交
202,展示尿道
203,展示乳穴
204,展示阴道
205,展示肛门
206,阴蒂爱抚
207,Ｂ自慰
208,Ｃ自慰
209,Ｖ自慰
210,Ｕ自慰
211,Ｐ自慰
212,Ａ自慰
213,玩弄处女膜
214,指插入
215,子宫指插入
216,扒开阴道
217,尿道口爱抚
218,尿道指插入
219,扒开尿道
220,放尿
221,肛门爱抚
222,拳交
223,肛门指插入
224,扒开菊穴
225,肛门拳交
226,爱抚双足
227,弹阴蒂
228,手指插入乳头

;Ｃ,
301,素股
302,Ｃ正常位插入
303,Ｃ后背位插入
304,Ｃ屈曲位插入
305,Ｃ对面座位插入
306,Ｃ背面座位插入
307,Ｃ骑乘位插入
308,磨豆腐

;Ｐ,
401,强制口交
402,强制乳交
403,强制乳头交
404,强制手交
405,强制素股
406,Ｖ正常位插入
407,Ｖ后背位插入
408,Ｖ屈曲位插入
409,Ｖ对面座位插入
410,Ｖ背面座位插入
411,Ｖ骑乘位插入
412,Ｕ正常位插入
413,Ｕ后背位插入
414,Ｕ屈曲位插入
415,Ｕ对面座位插入
416,Ｕ背面座位插入
417,Ｕ骑乘位插入
418,Ａ正常位插入
419,Ａ后背位插入
420,Ａ屈曲位插入
421,Ａ对面座位插入
422,Ａ背面座位插入
423,Ａ骑乘位插入
424,口内放尿
425,膀胱放尿
426,腔内放尿
427,肠内放尿
428,子宫放尿
429,全身浴尿
430,刺激G点
431,子宫口玩弄
432,子宫插入
433,结肠玩弄
434,强制足交
435,击剑
436,插入乳穴

;Ｕ,
501,放尿
502,尿道正常位
503,尿道后背位
504,尿道屈曲位
505,尿道对面座位
506,尿道背面座位
507,尿道骑乘位
508,

;Ｖ,
601,正常位
602,后背位
603,屈曲位
604,对面座位
605,背面座位
606,骑乘位

;Ａ,
701,强制舔肛
702,排泄
703,肛门正常位
704,肛门后背位
705,肛门屈曲位
706,肛门对面座位
707,肛门背面座位
708,肛门骑乘位

;Ｆ
801,强制舔足

;Ｓ
901,贴贴

;道具,
1001,口枷
1002,灌肠
1003,肛塞
1004,口塞
1005,自慰棒
1006,尿道自慰棒
1007,肛用自慰棒
1008,拘束

;消耗品,
1101,

;特殊,
1201,
