;角色基础
;性别
1,男
2,女
3,扶她

;种族
101,人类
102,高等精灵

;身体特征
;体型
201,萝莉

;胸部大小
301,绝壁
302,贫乳
303,普乳
304,巨乳
305,爆乳

;阴茎大小
401,针
402,短小
403,普
404,长根
405,巨根
406,马根
407,凶兽
408,龙根
409,规格外
410,最强

;部位色情特质
;口
501,初吻
502,Ｍ钝感
503,Ｍ性感
504,Ｍ过敏
505,舌头灵活
506,精爱味觉
507,呕吐反射耐性

591,娇唇
592,淫唇
593,口部精通
594,口部大师
;口状态
601,喉损伤
602,口枷佩戴中
603,食道塞佩戴中
604,胃填充中

;胸
701,Ｂ钝感
702,Ｂ性感
703,Ｂ过敏
704,复乳
705,母乳体质

791,柔乳
792,淫乳
793,胸部精通
794,胸部大师
;胸状态
801,Ｂ损伤
802,Ｂ跳蛋佩戴中
803,乳头塞佩戴中
804,震动棒佩戴中

901,陷没乳头(假性)
902,陷没乳头(真性)

;手
1101,Ｈ钝感
1102,Ｈ性感
1103,Ｈ过敏

1191,葇荑
1192,淫指
1193,手艺精湛
1194,加藤之手

;手状态
1201,

;阴蒂
1301,Ｃ钝感
1302,Ｃ性感
1303,Ｃ过敏

1391,嫩核
1392,淫核
1393,外阴精通
1394,外阴大师

;阴蒂状态
1401,Ｃ跳蛋佩戴中

;P
1501,

1591,秒硬
1592,肉质铁
1593,雄器之珍宝
;P状态
1601,

;尿道
1701,Ｕ处女
1702,Ｕ钝感
1703,Ｕ性感
1704,Ｕ过敏
1705,漏尿癖
1706,潮吹体质
1707,尿道松弛

1791,秘穴
1792,媚孔

;尿道状态
1801,Ｕ损伤
1802,尿道塞佩戴中
1803,Ｕ自慰棒佩戴中
1804,膀胱填充中

;阴道
1901,处女
1902,Ｖ钝感
1903,Ｖ性感
1904,Ｖ过敏
1905,阴道松弛

1991,名器
1992,淫壶
1993,阴道精通
1994,阴道大师

;阴道状态
2001,Ｖ损伤
2002,Ｖ自慰棒佩戴中
2003,子宫脱出
2004,避孕护符

;肛门
2101,Ａ处女
2102,Ａ钝感
2103,Ａ性感
2104,Ａ过敏
2105,括约肌松弛
2106,扩张适性
2107,肠液分泌体质
2108,

2191,幻洞
2192,淫庭
2193,第二穴
2194,热情相迎的无忧穴

;肛门状态
2201,Ａ损伤
2202,肛门脱出
2203,括约肌无力
2204,肛塞佩戴中
2205,Ａ自慰棒佩戴中

;足
2301,Ｆ钝感
2302,Ｆ性感
2303,Ｆ过敏

2391,娇足
2392,淫足
;足状态
2401,


;肌肤
2501,Ｓ钝感
2502,Ｓ性感
2503,Ｓ过敏
2591,凝玉
2592,淫肤

;肌肤状态
2601,

;色情特质
3001,容易怀孕
3002,难以怀孕
3003,怀孕不能
3004,容易中毒
3005,中毒耐性
3006,污臭无视
3007,污臭钝感
3008,污臭敏感
3009,疼痛无视
3010,疼痛钝感
3011,疼痛敏感
3012,药物依赖
3013,药毒耐性
3014,恢复快
3015,恢复慢
3016,容易湿
3017,不易湿
3018,发情体质
3019,时常发情
3020,淫乱
3021,性变态
3022,施虐狂
3023,受虐狂
3024,未发育
3025,流血耐性
3026,出血体质
3027,道具精通
3028,道具大师
3029,寸止精通
3030,存止大师
3031,忍耐精通
3032,忍耐大师

;知识类
3101,触手操纵术
3102,淫纹刻印术
3103,读心术
3104,操心术
3105,催眠术
3106,具现术
3199,禁忌知识

;癖好特质(指定行为)
3201,露出狂
3202,自慰狂
3203,扩张狂
3204,漏尿狂
3205,脱粪狂
3206,宫脱狂
3207,肛脱狂
3208,射精狂

;中毒(被动or全面)
3301,气味中毒
3302,精液中毒
3303,喷乳中毒
3304,药物中毒
3305,媚药中毒
3306,尿液中毒
;你知道我想写啥的.jpg

3401,气味依赖
3402,精液依赖
3403,喷乳依赖
3404,药物依赖
3405,媚药依赖
3406,尿液依赖

;陷落系
3501,
3502,疯狂

3601,亲密
3602,迷恋

3701,淫乱
3702,渴求

3801,顺遂
3802,隶属

3901,盲信
3902,崇拜

4001,合意
4002,把柄


;性格(基础)
;基础来自TheEdge
4101,懦弱
4102,坚强
4103,自尊低
4104,自尊高
4105,傲娇
4106,病娇
4107,感情淡漠
4108,感情丰富
4109,悲观
4110,乐观
4111,老实
4112,狂気
4113,和気
4114,高傲
4115,倒错
4116,容易陷落
4117,幼稚
4118,冷静
4119,引人注目

;性格(社交)
4201,直率
4202,反抗
4203,娴静
4204,自大
4205,开朗
4206,低调
4207,献身的
4208,自制心
4209,小恶魔
4210,冷漠
4211,温柔
4212,慈爱
4213,粗野
4214,孤高

;性格(性相关)
4301,好奇心
4302,保守的
4303,害羞的
4304,不知羞耻
4305,裸露癖
4306,无视贞操
4307,重视贞操
4308,难以逾越的底线
4309,否认快感
4310,承认快感
4311,压抑
4312,解放
4313,容易自慰
4314,抵抗
4315,讨厌男性
4316,讨厌女性
4317,双性恋
4318,百合
4319,警戒心
4320,贪色
4321,性冷淡

;性格(其他)
4401,天然呆
4402,笨蛋
4403,聪慧
4404,天才
4405,叛逆
4406,人気
4407,魅惑
4408,迷之魅力

;状态(暂时)
4501,发情中
4502,调教中
4503,幽禁中
4504,催眠
4505,麻痹
4506,洗脑
4507,无力
4508,时间停止
4509,石化
4510,中毒
4511,感觉遮断
4551,怀孕

;禁止
4601,高潮禁止
4602,自慰禁止
4603,排泄禁止

;状态(永久)
4701,死亡
4702,永久洗脑
4703,性病
4704,淫纹
