;爱抚
1,胸爱抚
2,爱抚乳头
3,阴蒂爱抚
4,尿道口爱抚
5,阴道口爱抚
6,肛门爱抚
7,尿道指插入
8,膀胱指插入
9,指插入
10,子宫指插入
11,肛门指插入
12,扒开乳穴
13,扒开尿道
14,扒开阴道
15,扒开菊穴
16,爱抚双足
17,爱抚全身

;舔
51,接吻
52,舔胸
53,舔乳头
54,舔阴蒂
55,舔尿道
56,舔阴道
57,舔肛
58,舔足
59,舔全身

;指令
;口
;舔
101,舔指奉侍
102,亲吻肉棒
103,舔尿道奉侍
104,舔肛奉侍
105,舔足奉侍

;口交
151,口交
152,深喉
153,胃插入
154,口内放尿
155,吞下尿液
156,吞下精液
157,喝套内精液
158,饮尿

;乳
201,乳交
202,乳头交
203,乳夹口交

;手
251,手交
252,手交口交

;Ｃ
301,素股

;Ｕ
351,放尿

;Ｖ
401,

;Ａ
451,排泄

;足
501,足交

;Ｓ
551,

;自慰
601,Ｂ自慰
602,Ｃ自慰
603,Ｕ自慰
604,Ｖ自慰
605,Ａ自慰
606,按摩棒自慰

651,展示口内
652,展示喉穴
653,展示乳房
654,展示乳穴
655,展示尿道
656,展示阴道
657,展示肛门
658,全穴展示

;性交
701,尿道正常位
702,尿道后背位
703,尿道屈曲位
704,尿道对面座位
705,尿道背面座位
706,尿道骑乘位
707,膀胱交
708,膀胱放尿

801,正常位
802,后背位
803,屈曲位
804,对面座位
805,背面座位
806,骑乘位
807,刺激G点
808,子宫口玩弄
809,子宫插入
810,子宫放尿

901,肛门正常位
902,肛门后背位
903,肛门屈曲位
904,肛门对面座位
905,肛门背面座位
906,肛门骑乘位
907,结肠玩弄
908,肠内放尿

;指令(使役)
;口
1001,强制口交

;Ｂ
1051,

;手
1101,

;Ｃ
1151,剃毛

;Ｕ
1201,尿道拳交

;Ｖ
1251,拳交

;Ａ
1301,灌肠
1302,肛门拳交

;足
1351,

;Ｓ
1401,浴尿

;装备类
1501,鼻勾
1502,眼罩
1503,拘束
1504,口枷
1505,肛塞

;自慰棒
1551,Ｕ自慰棒
1552,Ｖ自慰棒
1553,Ａ自慰棒

;消耗品
1601,润滑液
1602,媚药
1603,利尿剂
1604,排卵诱发剂
1605,筋弛缓剂
1606,镇静剂
1607,恢复剂

;特殊
