;口
1,Ｍ经验
2,口交经验
3,接吻经验
4,饮精经验
5,清洁口交经验
6,清洁舔阴经验
7,饮尿经验
8,饮乳经验
9,呕吐经验
10,强制呕吐经验

;喉
51,喉经验
52,喉口交经验
53,喉扩张经验
54,喉损伤经验

;胃
101,胃经验
102,喉扩张经验
103,胃精液经验

;胸
151,Ｂ经验
152,乳交经验
153,乳内精液经验
154,喷乳经验

;乳孔
201,乳孔扩张经验
202,乳头奸经验
203,乳孔精液经验
204,乳孔浴尿经验

;手
251,手交经验


;阴蒂
301,Ｃ经验

;尿道
351,Ｕ经验
352,Ｕ扩张经验
353,Ｕ损伤经验
354,Ｕ性交经验
355,放尿经验
356,漏尿经验

;膀胱
401,膀胱经验
402,膀胱精液经验
403,膀胱输尿经验

;阴道
451,Ｖ经验
452,Ｖ性交经验
453,Ｖ扩张经验
454,Ｖ损伤经验
455,Ｖ拳交经验
456,处女失去经验

;子宫
501,宫口经验
502,子宫奸经验
503,子宫中出经验
504,子宫浴尿经验

;肛门
551,Ａ经验
552,Ａ性交经验
553,Ａ扩张经验
554,Ａ损伤经验
555,Ａ拳交经验
556,排泄经验

;结肠
601,结肠经验
602,肠内中出经验
603,肠内灌尿经验
604,灌肠经验

;足
651,足经验
652,足交经验

;肌肤
701,肌肤经验
702,肌肤精液经验
703,浴尿经验
704,精液浴经验

;插入
1001,Ｍ插入经验
1002,喉插入经验
1003,胃插入经验
1004,Ｂ插入经验
1005,乳头插入经验
1006,Ｕ插入经验
1007,膀胱插入经验
1008,Ｖ插入经验
1009,子宫插入经验
1010,Ａ插入经验
1011,结肠插入经验

;射精
1051,射精经验

;绝顶
1101,Ｍ绝顶经验
1102,Ｂ绝顶经验
1103,Ｃ绝顶经验
1104,Ｕ绝顶经验
1105,Ｖ绝顶经验
1106,Ａ绝顶经验
1107,Ｆ绝顶经验
1108,Ｓ绝顶经验
1109,强制绝顶经验

;寸止
1151,Ｍ寸止经验
1152,Ｂ寸止经验
1153,Ｃ寸止经验
1154,Ｕ寸止经验
1155,Ｖ寸止经验
1156,Ａ寸止经验
1157,Ｆ寸止经验
1158,Ｓ寸止经验
1159,寸止经验

;快乐
1201,奉侍快乐经验
1202,被虐快乐经验
1203,施虐快乐经验
1204,道具调教经验
1205,羞耻快乐经验

;自慰行为
1251,Ｍ自慰经验
1252,Ｂ自慰经验
1253,Ｃ自慰经验
1254,Ｕ自慰经验
1255,Ｖ自慰经验
1256,Ａ自慰经验
1257,Ｆ自慰经验
1258,Ｓ自慰经验
1259,强制自慰经验
1260,调教自慰经验

;自慰绝顶
1301,Ｍ自慰绝顶经验
1302,Ｂ自慰绝顶经验
1303,Ｃ自慰绝顶经验
1304,Ｕ自慰绝顶经验
1305,Ｖ自慰绝顶经验
1306,Ａ自慰绝顶经验
1307,Ｆ自慰绝顶经验
1308,Ｓ自慰绝顶经验
1309,自慰绝顶经验

;处女夺取
1351,初吻夺取经验
1352,喉处女夺取经验
1353,胃处女夺取经验
1354,乳孔处女夺取经验
1355,尿道处女夺取经验
1356,膀胱处女夺取经验
1357,处女夺取经验
1368,子宫处女夺取经验
1369,肛门处女夺取经验
1370,结肠处女夺取经验

;调教行为
1501,调教经验
1502,精液经验
1503,道具经验
1504,


1551,舔足经验
1552,舔肛经验
1553,舔指经验

1601,露出经验

1651,剃毛经验

1701,百合经验
1702,ＳＭ经验
1703,拘束经验
1704,穿孔经验
1705,媚药经验

1751,触手经验

1801,特别经验
1802,异常经验
1803,

;调教行为(使役)
2001,调教经验(使役)
2002,道具经验(使役)
